Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen;Beschäftigtenquote Frauen
;;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09271";"Deggendorf";"Kreisregionen";"41,30";"41,03";"40,59";"41,28";"42,09";"43,73";"43,97";"45,19";"47,79";"48,81";"50,47";"51,93";"53,50";"54,14";"55,63";"56,87";"58,28";"59,20";"59,76";"61,70";"62,55"
"09272";"Freyung-Grafenau";"Kreisregionen";"38,74";"38,37";"38,33";"38,84";"39,77";"41,36";"41,76";"42,88";"44,57";"46,00";"48,00";"48,91";"50,96";"52,16";"53,74";"55,67";"57,12";"58,18";"59,38";"61,34";"62,53"
"09273";"Kelheim";"Kreisregionen";"44,71";"44,67";"44,81";"45,10";"45,34";"46,64";"46,76";"47,53";"48,97";"50,06";"51,49";"52,44";"53,55";"54,67";"56,13";"57,49";"58,63";"59,03";"60,04";"61,72";"63,01"
"09274";"Kreis u. Stadt Landshut";"Kreisregionen";"45,96";"45,83";"45,75";"46,12";"46,74";"47,90";"48,78";"49,52";"50,88";"51,89";"52,74";"53,51";"54,71";"56,13";"57,24";"58,15";"59,05";"59,55";"60,98";"64,46";"65,64"
"09275";"Kreis u. Stadt Passau";"Kreisregionen";"41,78";"41,18";"41,17";"41,73";"42,54";"43,77";"44,28";"45,19";"47,21";"48,32";"49,58";"50,52";"51,76";"53,37";"54,38";"55,47";"56,80";"57,16";"58,47";"60,98";"61,86"
"09276";"Regen";"Kreisregionen";"41,12";"40,93";"41,19";"41,21";"42,61";"43,23";"43,77";"44,68";"46,94";"47,99";"49,62";"50,98";"52,20";"52,97";"54,57";"56,33";"57,46";"58,36";"59,48";"61,20";"62,54"
"09277";"Rottal-Inn";"Kreisregionen";"42,50";"41,85";"41,72";"42,31";"43,10";"44,52";"45,38";"46,14";"47,51";"48,86";"49,98";"51,02";"52,21";"53,28";"54,39";"55,84";"56,46";"57,17";"58,25";"61,24";"62,55"
"09278";"Straubing-Bogen/Straubing";"Kreisregionen";"44,16";"43,69";"43,35";"43,85";"44,54";"45,70";"46,11";"47,30";"48,84";"49,69";"51,19";"52,45";"54,47";"55,64";"57,51";"58,39";"59,74";"59,99";"61,21";"63,14";"64,80"
"09279";"Dingolfing-Landau";"Kreisregionen";"46,35";"46,24";"46,43";"46,99";"47,74";"48,67";"48,59";"49,47";"51,14";"52,02";"53,60";"55,02";"56,43";"57,45";"59,00";"59,71";"60,15";"60,50";"61,98";"63,57";"64,98"
