Kennziffer;Raumeinheit;Aggregat;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre;Einwohner unter 6 Jahre
;;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"09271";"Deggendorf";"Kreisregionen";"5,81";"5,68";"5,47";"5,39";"5,25";"5,08";"4,96";"4,85";"4,80";"4,76";"4,81";"4,88";"5,03";"5,09";"5,20";"5,17";"5,22";"5,26";"5,38";"5,42";"5,36"
"09272";"Freyung-Grafenau";"Kreisregionen";"5,88";"5,67";"5,41";"5,21";"4,95";"4,71";"4,56";"4,37";"4,39";"4,37";"4,35";"4,44";"4,62";"4,79";"4,91";"5,06";"5,08";"5,16";"5,25";"5,23";"5,11"
"09273";"Kelheim";"Kreisregionen";"6,52";"6,36";"6,18";"5,96";"5,85";"5,79";"5,68";"5,63";"5,41";"5,44";"5,44";"5,40";"5,48";"5,64";"5,72";"5,84";"6,00";"6,08";"6,24";"6,16";"6,09"
"09274";"Kreis u. Stadt Landshut";"Kreisregionen";"6,01";"5,93";"5,78";"5,61";"5,56";"5,53";"5,48";"5,47";"5,33";"5,36";"5,28";"5,31";"5,44";"5,54";"5,72";"5,79";"5,94";"6,05";"6,11";"6,11";"6,02"
"09275";"Kreis u. Stadt Passau";"Kreisregionen";"5,57";"5,38";"5,18";"4,98";"4,85";"4,75";"4,67";"4,56";"4,59";"4,62";"4,67";"4,67";"4,76";"4,87";"4,95";"4,98";"5,06";"5,17";"5,22";"5,30";"5,27"
"09276";"Regen";"Kreisregionen";"5,57";"5,39";"5,29";"4,96";"4,79";"4,72";"4,59";"4,51";"4,42";"4,44";"4,45";"4,46";"4,65";"4,82";"5,04";"5,12";"5,25";"5,35";"5,38";"5,46";"5,34"
"09277";"Rottal-Inn";"Kreisregionen";"5,98";"5,85";"5,60";"5,39";"5,24";"5,16";"5,07";"5,01";"4,91";"4,93";"4,91";"4,97";"5,07";"5,13";"5,24";"5,32";"5,42";"5,51";"5,59";"5,72";"5,68"
"09278";"Straubing-Bogen/Straubing";"Kreisregionen";"5,82";"5,67";"5,53";"5,38";"5,30";"5,21";"5,10";"5,06";"4,94";"4,90";"4,89";"4,93";"5,00";"5,11";"5,25";"5,41";"5,57";"5,72";"5,86";"5,92";"5,84"
"09279";"Dingolfing-Landau";"Kreisregionen";"6,02";"5,86";"5,66";"5,44";"5,33";"5,24";"5,04";"4,94";"4,96";"4,91";"4,90";"4,92";"5,01";"5,11";"5,31";"5,54";"5,77";"5,89";"6,09";"6,01";"5,89"
